cpu_usage,assigned_mem
6135515.87712279,2002296.0
6126975.265552814,2002722.0
6171487.901626885,2004784.0
6039484.114488076,2006620.0
6025625.191730852,2007544.0
6316077.873273671,2007792.0
6157604.106981632,2007138.0
6087849.882012107,2006276.0
6210790.1773605505,2007664.0
6360198.554470838,2005760.0
6200964.6373876445,2003790.0
6253955.324218731,2003152.0
6169791.35480782,2003942.0
6225125.435286055,1994046.0
6218508.613690728,1993260.0
6163567.71837051,1985156.0
6066850.349550053,1985830.0
6270002.8462656755,1985316.0
6177757.473303474,1986482.0
6090141.581035259,1984460.0
6097001.908590383,1980688.0
6189531.272769633,1977486.0
6100168.295352859,1976640.0
6148917.631427036,1979784.0
6075540.035850512,1979534.0
6097611.97646232,1981848.0
6073002.187740572,1981214.0
6022542.8817303665,1980806.0
5941099.8773066,1980352.0
6206726.89110825,1980622.0
6114300.246829909,1979324.0
6036125.762504171,1979070.0
5989326.3015173655,1980682.0
6024953.046249019,1980372.0
5991079.907124362,1978598.0
6031656.887748581,1977064.0
5951854.895958606,1976964.0
5937125.170747893,1979442.0
5957752.240633118,1981726.0
5921959.010852463,1979062.0
5848161.413218263,1974638.0
6092226.976189597,1973756.0
5926320.933407283,1971562.0
5869666.191606357,1971102.0
5970435.380140229,1970758.0
6006396.696938631,1970212.0
5923042.657724187,1971598.0
5970677.465248194,1974192.0
5890180.116313801,1973600.0
5942062.842962964,1973306.0
5950118.51105469,1970798.0
5886706.980379125,1970404.0
5830835.150608047,1967824.0
6125529.388703161,1967704.0
6131076.466082762,1969068.0
6253209.223530953,1972150.0
6183538.823102156,1972734.0
6137441.085547665,1969308.0
6146964.3711169595,1965266.0
6193050.852397886,1965052.0
6092589.020011883,1966388.0
6155821.690353611,1967606.0
6115778.209773133,1965228.0
6050388.859119021,1965370.0
5915229.498642984,1965574.0
6119577.667587082,1966988.0
5998572.529069037,1964688.0
5980446.768988921,1958740.0
6101634.555097852,1955024.0
6002881.190325659,1954986.0
5969164.616947569,1954196.0
6014108.370194994,1954448.0
5936515.737606137,1955798.0
5877702.594575984,1957590.0
5816492.8737954805,1954098.0
5754916.122170245,1949260.0
5701062.606876139,1944674.0
5982022.784535951,1943120.0
5790132.64523923,1943964.0
5808491.033160399,1943514.0
5853799.688445594,1941260.0
5862278.495462684,1940444.0
5795970.207832842,1939592.0
5866325.152397835,1939320.0
5793735.642328636,1935046.0
5767674.026856285,1934234.0
5746739.156353067,1936342.0
5737612.874511497,1936624.0
5684175.047650287,1939854.0
5922841.003246398,1946150.0
5745343.35294268,1950068.0
5671508.57317353,1952286.0
5763746.263182325,1945774.0
5746787.282652693,1945236.0
5675916.801929557,1945014.0
5772294.374400999,1946682.0
5686497.381572397,1948632.0
5708153.227980231,1948912.0
5724423.818844062,1949560.0
5687075.191901329,1951122.0
5597597.62824706,1948534.0
5845298.429991934,1948374.0
5695996.305524128,1947636.0
5670144.569085989,1948792.0
5703234.728357745,1947754.0
5691411.356390973,1946418.0
5607483.880530427,1946290.0
5678712.810155703,1946054.0
5616911.725749428,1949152.0
5667811.535012817,1951028.0
5643540.549063195,1949336.0
5560581.637367672,1949952.0
5563476.298589017,1947386.0
5792570.112874413,1946152.0
5655849.600008688,1945698.0
5648774.426131551,1944890.0
5678667.526175402,1942770.0
5682454.597425209,1941310.0
5658316.7179796435,1941298.0
5756807.313800242,1942232.0
5747130.709898239,1942634.0
5836141.782001231,1948086.0
5795631.019440097,1954404.0
5713824.103041894,1960142.0
5697994.292465224,1958406.0
5994313.863342289,1961030.0
5867679.821290236,1964532.0
5841670.745363496,1962662.0
5912982.386070672,1960312.0
5970899.234914251,1957078.0
5966716.252201367,1957630.0
6165468.516097305,1960798.0
6199502.455486669,1963290.0
6226979.214850307,1964338.0
6222373.192395436,1967272.0
6208564.341914178,1970520.0
6182814.202424655,1967766.0
6449401.501276043,1969138.0
6384948.163979554,1972006.0
6389610.342546014,1972738.0
6461728.569040881,1975106.0
6490350.384757308,1978888.0
6437929.420601878,1980810.0
6490451.694934282,1980356.0
6324795.622124177,1978260.0
6203901.345820226,1977946.0
6246630.229930622,1973136.0
6308095.859700387,1974970.0
6280365.950538069,1974482.0
6524198.184281194,1975666.0
6368542.190613088,1977840.0
6367472.351727075,1976766.0
6473167.757917604,1978096.0
6487837.800339653,1981440.0
6445999.818890343,1983246.0
6639365.220929854,1983470.0
6568177.210087053,1983566.0
6592495.477088842,1984432.0
6571476.909713817,1987432.0
6459732.278060892,1989802.0
6377571.609025721,1984326.0
6746116.710034576,1984850.0
6586526.574348336,1988770.0
6690547.221160052,1988840.0
6661044.971078694,1984002.0
6639733.708343207,1983830.0
6633724.43260202,1986484.0
6672124.335342677,1988676.0
6529257.082551713,1990300.0
6477869.105212348,1988694.0
6523865.046619401,1990060.0
6502768.3505673325,1995186.0
6625304.222747048,1997660.0
6803151.795991714,1996878.0
6655188.201654252,1996314.0
6534499.233136823,1994314.0
6524067.735801795,1992940.0
6517206.999742802,1987476.0
6491264.204379304,1989600.0
6684507.123881121,1990400.0
6588531.865825644,1992078.0
6571954.676986832,1998130.0
6561616.063525385,2002250.0
6541726.588556155,2001154.0
6422803.85807827,1999758.0
6640828.974961292,1999858.0
6516470.763312067,1997876.0
6456061.573520438,1993022.0
6481277.166158018,1988058.0
6494618.321607015,1984396.0
6548079.7288232725,1977960.0
6745603.892732296,1974468.0
6527721.17056425,1965458.0
6449729.742608088,1969320.0
6484503.192949657,1969536.0
6469900.180212508,1963188.0
6586485.815989299,1956364.0
6941479.684204979,1952398.0
6540806.473019157,1947370.0
6511719.035130695,1943518.0
6526936.574216896,1939264.0
6602982.678371843,1941546.0
6487340.351771087,1943834.0
6557435.3460157495,1946020.0
6387707.94431727,1945852.0
6498930.8956651995,1948006.0
6488554.910929557,1954700.0
6399087.930387879,1954048.0
6394967.6892129015,1957746.0
6543321.440474272,1960626.0
6441635.382637371,1963336.0
6420911.316961718,1956376.0
6443793.264475677,1949900.0
6426414.62770144,1949826.0
6394239.401006007,1953196.0
6433923.823510857,1957226.0
6429908.1846525865,1949428.0
6411119.170094011,1950410.0
6374165.1800540695,1953260.0
6375444.957070177,1954124.0
6321506.093011559,1952582.0
6646982.956719197,1958756.0
6505773.681317998,1966974.0
6375293.587560829,1969138.0
6474213.883018111,1967190.0
6439507.934706663,1958454.0
6368217.543360347,1958158.0
6421443.1857413,1958396.0
6298325.60311055,1959490.0
6348386.803885332,1963778.0
6338851.295982157,1967412.0
6267688.831353576,1968304.0
6275026.111121035,1969094.0
6483833.920569324,1972776.0
6413047.010277958,1972530.0
6406997.138542166,1965342.0
