cpu_usage,assigned_mem
6415038.408013518,2002296.0
6386142.518367641,1999140.0
6398992.666671015,1998050.0
6316914.547047439,1997062.0
6301959.428816367,1996364.0
6529964.517765297,1995952.0
6393753.117872476,2002858.0
6294746.152972046,2002492.0
6394590.0927470215,2000816.0
6429846.096595409,1998738.0
6344538.111103312,1997352.0
6425626.78884032,1995334.0
6352046.780757342,1995648.0
6359615.146839561,1994696.0
6409804.502916628,1994842.0
6264299.674123101,1991938.0
6186472.210185646,1992810.0
6439316.6435777,1995334.0
6315789.970256289,1997386.0
6273098.431999968,1995888.0
6369977.671317441,1997676.0
6354173.128222104,1997782.0
6303040.111188555,1993448.0
6390078.019927041,1987532.0
6368150.889214226,1986044.0
6348860.678108864,1984258.0
6277383.509635905,1984324.0
6183292.098612587,1981604.0
6100478.26010891,1982682.0
6359971.996087732,1982694.0
6203527.573020063,1984278.0
6155788.65408958,1977722.0
6186620.691886718,1976094.0
6224729.714673444,1975332.0
6132750.98071518,1976332.0
6200745.719025141,1975204.0
6193001.605474152,1975266.0
6172789.967021918,1975692.0
6130639.957406004,1978214.0
6046710.357491862,1977126.0
6034405.396301311,1977448.0
6256465.370632511,1978010.0
6142926.7439643135,1976696.0
6072516.479715042,1975966.0
6139651.67901111,1974326.0
6108664.610679851,1971980.0
6040867.772057866,1972750.0
6127963.036961351,1969896.0
6069592.367108234,1969466.0
6081747.1558796195,1968924.0
6083728.654545442,1971238.0
6025997.208728417,1971602.0
6031348.2625491,1969280.0
6258966.074857048,1969042.0
6455913.948387782,1972200.0
6392090.107646937,1970510.0
6439562.608945603,1967964.0
6325412.974563081,1966054.0
6430745.211111163,1965342.0
6371198.983753402,1963270.0
6268021.242435595,1963032.0
6308111.544111841,1963284.0
6322013.116371248,1962660.0
6230043.651630856,1963642.0
6195345.514692551,1965722.0
6373346.9782111915,1966762.0
6138282.985464871,1968480.0
6177474.479753349,1961948.0
6106412.547384111,1959922.0
5891577.228892852,1958498.0
5877280.643771342,1958238.0
5967257.421643357,1957344.0
5920156.778429208,1956558.0
5858430.254312499,1953392.0
5905514.440170608,1950492.0
5789093.271226812,1951492.0
5815414.877464668,1952286.0
5981676.767531633,1953638.0
5858112.274822695,1959994.0
5857089.059096683,1959112.0
5919881.538155254,1955158.0
5856890.820907263,1954518.0
